Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-02-11 15:19:56.817 +0530,"Failure",0:00:00,1,0,0,"20180211_151956.817/LogFile.txt","","STUnknownMessage -- ERROR: 'click' was called as a Function, but is only available as a Command",0
2018-02-11 15:20:04.773 +0530,"Failure",0:00:00,1,0,0,"20180211_152004.773/LogFile.txt","","STUnknownMessage -- ERROR: 'click' was called as a Function, but is only available as a Command",0
2018-02-11 15:21:45.192 +0530,"Failure",0:00:01,1,0,0,"20180211_152145.192/LogFile.txt","","Error Running Script Command -- capturescreen Error - Error Computing Rectangle: step 9",2
2018-02-11 15:22:14.796 +0530,"Success",0:00:01,0,0,0,"20180211_152214.796/LogFile.txt","","",2
2018-02-11 15:28:22.794 +0530,"Success",0:00:00,0,0,0,"20180211_152822.794/LogFile.txt","","",1
2018-02-11 15:28:30.894 +0530,"Success",0:00:00,0,0,0,"20180211_152830.894/LogFile.txt","","",1
2018-02-11 15:28:39.980 +0530,"Success",0:00:00,0,0,0,"20180211_152839.980/LogFile.txt","","",1
2018-02-11 15:28:51.193 +0530,"Failure",0:00:00,1,0,0,"20180211_152851.193/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'clickimage'",0
2018-02-11 15:29:03.650 +0530,"Failure",0:00:00,1,0,0,"20180211_152903.650/LogFile.txt","","SenseTalk Compiler Exception -- in doubleclickimage:\nSyntax Error at line 2: Syntax Error - can't understand ""ImageFound"" at or near character 60",0
2018-02-11 15:29:31.333 +0530,"Failure",0:00:00,1,0,0,"20180211_152931.333/LogFile.txt","","SenseTalk Compiler Exception -- in doubleclickimage:\nWarning at line 8: Warning - Non-matching handler name: ClickImage",0
2018-02-11 15:29:41.617 +0530,"Failure",0:00:00,1,0,0,"20180211_152941.617/LogFile.txt","","SenseTalk Compiler Exception -- in doubleclickimage:\nWarning at line 8: Warning - Non-matching handler name: ClickImage",0
2018-02-11 15:30:39.113 +0530,"Failure",0:00:00,1,0,0,"20180211_153039.113/LogFile.txt","","SenseTalk Compiler Exception -- in doubleclickimage:\nWarning at line 8: Warning - Non-matching handler name: ClickImage",0
2018-02-11 15:30:54.177 +0530,"Failure",0:00:00,1,0,0,"20180211_153054.177/LogFile.txt","","SenseTalk Compiler Exception -- in doubleclickimage:\nWarning at line 8: Warning - Non-matching handler name: ClickImage",0
2018-02-11 15:31:28.016 +0530,"Failure",0:00:00,1,0,0,"20180211_153128.016/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'logfailure'",0
2018-02-11 15:31:41.552 +0530,"Failure",0:00:01,1,0,0,"20180211_153141.552/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
2018-02-11 15:31:53.754 +0530,"Failure",0:00:00,1,0,0,"20180211_153153.754/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
2018-02-11 15:33:28.430 +0530,"Failure",0:00:01,1,0,0,"20180211_153328.430/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
2018-02-11 15:33:55.721 +0530,"Failure",0:00:01,1,0,0,"20180211_153355.721/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
2018-02-11 15:34:31.040 +0530,"Failure",0:00:01,1,0,0,"20180211_153431.040/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
2018-02-11 15:34:36.710 +0530,"Failure",0:00:01,1,0,0,"20180211_153436.710/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
