Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-02-14 16:31:52.436 +0530,"Success",0:00:00,0,0,0,"20180214_163152.436/LogFile.txt","","",1
2018-02-14 16:47:27.158 +0530,"Success",0:00:00,0,0,0,"20180214_164727.158/LogFile.txt","","",1
2018-02-14 16:47:39.324 +0530,"Success",0:00:00,0,0,0,"20180214_164739.324/LogFile.txt","","",1
2018-02-14 16:47:46.119 +0530,"Success",0:00:00,0,0,0,"20180214_164746.119/LogFile.txt","","",1
2018-02-14 16:48:39.295 +0530,"Success",0:00:00,0,0,0,"20180214_164839.295/LogFile.txt","","",1
2018-02-14 16:52:44.946 +0530,"Success",0:00:00,0,0,0,"20180214_165244.946/LogFile.txt","","",1
2018-02-14 16:54:13.341 +0530,"Success",0:00:00,0,0,0,"20180214_165413.341/LogFile.txt","","",1
2018-02-14 16:54:22.095 +0530,"Success",0:00:00,0,0,0,"20180214_165422.095/LogFile.txt","","",1
2018-02-14 17:00:16.921 +0530,"Success",0:00:00,0,0,0,"20180214_170016.921/LogFile.txt","","",1
2018-02-14 17:03:17.864 +0530,"Success",0:00:00,0,0,0,"20180214_170317.864/LogFile.txt","","",1
